stopId,code,stop_name,type,zone,ward,address,street,support_disability,status,lng,lat,search,routes
1926,HHM 017,Trạm măng,Trụ dừng,Huyện Hóc Môn,Xã Bà Điểm,41/1B,Quốc lộ 1A,,Đang khai thác,106.612535,10.840398,Tm 41/1B Ql1A,"151, 60-1"
1921,HHM 018,Hồng Mộc,Trụ dừng,Huyện Hóc Môn,Xã Bà Điểm,59/2A,Quốc lộ 1A,,Đang khai thác,106.60797,10.836167,HM 59/2A Ql1A,"151, 60-1"
1928,HHM 019,Ngã tư Bà Điểm,Trụ dừng,Huyện Hóc Môn,Xã Bà Điểm,57/7B,Quốc lộ 1A,,Đang khai thác,106.605804,10.832674,NtBD 57/7B Ql1A,"151, 60-1"
4750,HHM 021,Công ty Lộc Ích,Nhà chờ,Huyện Hóc Môn,Xã Bà Điểm,Đối diện Công ty Lộc Ích,Quốc lộ 1A,Có,Đang khai thác,106.6034,10.827568,CtLÍ DdCtLÍ Ql1A,151
1930,QBT 073,Quang Châu,Ô sơn,Quận Bình Tân,Phường Bình Hưng Hoà B,5/30K (SỐ 6),Quốc lộ 1A,,Đang khai thác,106.602554,10.823311,QC 5/30K(6) Ql1A,"151, 60-1"
1923,QBT 074,Vĩ Phong,Trụ dừng,Quận Bình Tân,Phường Bình Hưng Hoà B,136,Quốc lộ 1A,,Đang khai thác,106.60202,10.821082,VP 136 Ql1A,151
1932,QBT 075,Gò Mây,Trụ dừng,Quận Bình Tân,Phường Bình Hưng Hoà B,230,Quốc lộ 1A,,Đang khai thác,106.601379,10.818021,GM 230 Ql1A,"151, 60-1"
1927,QBT 076,Phú Cường,Ô sơn,Quận Bình Tân,Phường Bình Hưng Hoà B,386,Quốc lộ 1A,,Đang khai thác,106.598412,10.804263,PC 386 Ql1A,"151, 60-1"
1934,QBT 077,Hương Quê,Ô sơn,Quận Bình Tân,Phường Bình Hưng Hoà B,320,Quốc lộ 1A,,Đang khai thác,106.597427,10.799784,HQ 320 Ql1A,"151, 60-1"
1929,QBT 078,Phát Đạt,Trụ dừng,Quận Bình Tân,Phường Bình Hưng Hoà B,502,Quốc lộ 1A,,Đang khai thác,106.595779,10.791742,PD 502 Ql1A,"151, 60-1"
1937,QBT 079,Khu phố 5,Trụ dừng,Quận Bình Tân,Phường Bình Hưng Hoà B,576,Quốc lộ 1A,,Đang khai thác,106.594925,10.787811,Kp5 576 Ql1A,"151, 60-1"
1931,QBT 080,Tân Kỳ Tân Quý (Hoàng Gia Phát),Trụ dừng,Quận Bình Tân,Phường Bình Hưng Hoà B,642,Quốc lộ 1A,,Đang khai thác,106.594276,10.784723,TKTQ(GP 642 Ql1A,"151, 60-1"
1939,QBT 081,Thiên Phúc Học,Nhà chờ,Quận Bình Tân,Phường Bình Hưng Hoà B,734 (kế 738),Quốc lộ 1A,,Đang khai thác,106.593697,10.781952,TPH 734(738) Ql1A,"151, 60-1"
1941,QBT 082,Ao Đôi,Ô sơn,Quận Bình Tân,,790 (Đối diện Ao Đôi),Quốc lộ 1A,,Đang khai thác,106.593262,10.779601,AD 790(dAD Ql1A,"151, 60-1"
